Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ByteArrayOutputStreamTestCase.java",2,2,2,1,21,2,15,2,,,,1,1,1,8,,8,7,0,8,,0,5,0,3,,223,34,147,51,97,42,,,,105,125,46,79,,,,,,3,3,3,3,,,2,,,,0.29,17,17,17,10
File,"ByteOrderMark.java",2,2,2,1,14,0,8,6,,,,1,0,7,8,,8,8,2,8,,0,0,0,8,,191,19,82,28,46,90,,,,47,67,29,38,,,,,,5,5,5,5,,,2,,,,1.10,18,18,20,12
File,"ByteOrderMarkTestCase.java",1,1,1,1,9,0,8,1,,,,1,0,3,9,,9,9,0,9,,0,0,0,9,,146,17,96,33,54,33,,,,55,69,23,46,,,,,,5,5,5,1,,,1,,,,0.34,13,13,13,9
File,"ByteOrderParser.java",2,2,2,2,17,0,6,11,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,66,6,16,5,6,44,,,,5,10,5,5,,,,,,3,3,3,3,,,1,,,,2.75,4,4,4,4
File,"ByteOrderParserTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,4,,4,4,0,4,,0,1,0,3,,44,7,21,12,4,16,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,0.76,4,4,4,4
File,"CanExecuteFileFilter.java",1,1,1,1,7,0,2,4,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,78,8,14,10,4,56,,,,7,10,9,1,,,,,,1,1,1,1,,,0,,,,4.00,2,2,2,2
File,"CanReadFileFilter.java",1,1,1,1,7,0,2,5,,,,1,0,4,2,,2,2,0,2,,0,0,1,1,,95,9,16,12,6,70,,,,8,11,10,1,,,,,,1,1,1,1,,,0,,,,4.38,2,2,2,2
File,"CanWriteFileFilter.java",1,1,1,1,7,0,2,5,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,83,8,14,10,4,61,,,,7,10,9,1,,,,,,1,1,1,1,,,0,,,,4.36,2,2,2,2
File,"CharSequenceInputStream.java",2,2,2,1,13,0,8,5,,,,1,0,2,14,,14,14,5,14,,0,1,0,13,,270,23,152,47,80,100,,,,75,105,38,67,,,,,,9,9,13,6,,,3,,,,0.66,32,32,38,22
File,"CharSequenceInputStreamTest.java",1,1,1,1,6,0,5,0,,,,1,0,3,44,,44,44,2,44,,0,14,0,30,,423,60,322,121,151,47,,,,135,223,103,120,,,,,,4,4,4,3,,,3,,,,0.15,65,65,71,46
File,"CharSequenceReader.java",2,2,2,1,12,0,6,5,,,,1,0,1,9,,9,9,3,9,,0,0,0,9,,164,13,78,30,35,73,,,,34,52,23,29,,,,,,6,6,8,4,,,2,,,,0.94,18,18,20,12
File,"CharSequenceReaderTest.java",1,1,1,1,9,0,9,0,,,,1,0,1,9,,9,9,0,9,,0,2,0,7,,130,13,97,28,57,20,,,,59,76,23,53,,,,,,2,2,2,1,,,1,,,,0.21,11,11,11,9
File,"CharacterFilterReader.java",1,1,1,1,7,0,3,4,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,48,6,13,7,3,29,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,2.23,2,2,2,2
File,"CharacterFilterReaderTest.java",1,1,1,1,6,0,6,0,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,72,9,47,22,19,16,,,,19,30,17,13,,,,,,1,1,1,1,,,1,,,,0.34,5,5,5,5
File,"CharacterSetFilterReader.java",1,1,1,1,8,0,3,4,,,,1,0,1,2,,2,2,1,2,,0,0,1,1,,55,6,16,10,4,33,,,,9,12,9,3,,,,,,2,2,2,1,,,0,,,,2.06,3,3,3,2
File,"CharacterSetFilterReaderTest.java",1,1,1,1,8,0,8,0,,,,1,0,0,10,,10,10,0,10,,0,0,0,10,,131,13,102,45,54,16,,,,50,71,35,36,,,,,,1,1,1,1,,,1,,,,0.16,10,10,10,10
File,"Charsets.java",1,1,1,1,15,0,5,9,,,,1,3,6,3,,3,0,0,3,,0,0,0,3,,192,11,36,23,16,145,,,,22,26,17,9,,,,,,2,2,2,1,,,0,,,,4.03,5,5,5,3
File,"CharsetsTestCase.java",1,1,1,1,4,0,4,0,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,84,13,49,24,17,23,,,,22,31,15,16,,,,,,1,1,1,1,,,0,,,,0.47,8,8,8,8
File,"ChunkedOutputStream.java",1,1,1,1,13,0,6,7,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,87,8,29,14,13,50,,,,16,22,13,9,,,,,,2,2,2,1,,,1,,,,1.72,5,5,5,3
File,"ChunkedOutputStreamTest.java",1,1,1,1,6,0,6,0,,,,2,0,0,5,,5,5,0,5,,0,1,0,4,,68,10,39,20,20,19,,,,22,28,18,10,,,,,,1,1,1,1,,,0,,,,0.49,5,5,5,5
File,"ChunkedWriter.java",1,1,1,1,13,0,6,6,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,85,8,29,14,13,48,,,,16,22,13,9,,,,,,2,2,2,1,,,1,,,,1.66,5,5,5,3
File,"ChunkedWriterTest.java",1,1,1,1,7,0,7,0,,,,2,0,0,5,,5,5,0,5,,0,1,0,4,,67,7,44,17,20,16,,,,19,29,15,14,,,,,,1,1,1,1,,,2,,,,0.36,5,5,5,5
File,"CircularBufferInputStream.java",2,2,2,1,11,0,8,3,,,,1,0,0,8,,8,8,4,8,,0,0,2,6,,139,11,81,25,41,47,,,,40,60,22,38,,,,,,5,5,5,4,,,2,,,,0.58,19,19,19,11
File,"CircularBufferInputStreamTest.java",5,5,5,1,26,0,24,1,,,,1,0,0,2,,2,2,1,2,,0,1,0,1,,83,6,57,19,34,21,,,,28,39,18,21,,,,,,10,9,10,1,,,5,,,,0.37,11,10,11,2
File,"CircularByteBuffer.java",2,2,3,1,16,0,9,7,,,,1,0,0,13,,13,13,4,13,,0,0,0,13,,261,15,123,21,70,123,,,,56,91,24,67,,,,,,7,7,9,4,,,2,,,,1.00,34,34,39,16
File,"ClassLoaderObjectInputStream.java",2,2,2,1,18,0,8,9,,,,1,0,0,3,,3,3,1,3,,0,0,2,1,,100,8,38,19,13,54,,,,18,25,14,11,,,,,,3,3,3,1,,,1,,,,1.42,6,6,6,3
File,"ClassLoaderObjectInputStreamTest.java",1,1,1,1,10,1,8,0,,,,3,0,1,13,,11,13,6,13,,1,1,0,11,,210,44,142,74,84,24,,,,78,101,64,37,,,,,,2,2,2,1,,,1,,,,0.17,15,15,15,13
File,"ClassNameMatcher.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,33,2,4,3,0,27,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,6.75,0,0,0,0
File,"CloseShieldInputStream.java",1,1,1,1,8,0,3,5,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,52,5,11,6,2,36,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,3.27,2,2,2,2
File,"CloseShieldInputStreamTest.java",1,1,1,1,6,0,6,0,,,,2,0,0,3,,3,3,4,3,,0,0,0,3,,63,11,33,17,12,19,,,,21,25,16,9,,,,,,1,1,1,1,,,0,,,,0.58,3,3,3,3
File,"CloseShieldOutputStream.java",1,1,1,1,8,0,3,5,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,53,5,11,6,2,37,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,3.36,2,2,2,2
File,"CloseShieldOutputStreamTest.java",1,1,1,1,8,0,8,0,,,,2,0,0,3,,3,3,3,3,,0,0,0,3,,67,10,37,16,16,20,,,,22,27,15,12,,,,,,2,2,2,1,,,1,,,,0.54,4,4,4,3
File,"ClosedInputStream.java",1,1,1,1,8,0,3,5,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,50,6,10,7,2,34,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,3.40,1,1,1,1
File,"ClosedInputStreamTest.java",1,1,1,1,5,0,5,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,5,11,6,2,19,,,,4,7,5,2,,,,,,1,1,1,1,,,1,,,,1.73,1,1,1,1
File,"ClosedOutputStream.java",1,1,1,1,8,0,3,5,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,59,5,14,9,3,40,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,2.86,2,2,2,2
File,"ClosedOutputStreamTest.java",2,2,2,1,12,0,7,5,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,58,7,22,9,8,29,,,,8,13,7,6,,,,,,2,2,2,1,,,1,,,,1.32,4,4,4,2
File,"ClosingBase.java",1,1,1,1,5,0,5,0,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,55,6,27,14,8,22,,,,12,19,13,6,,,,,,3,3,3,1,,,2,,,,0.81,5,5,5,3
File,"CollectionFileListener.java",1,1,1,1,8,0,3,4,,,,1,0,1,16,,16,16,7,16,,0,0,0,16,,196,20,77,38,28,99,,,,33,51,30,21,,,,,,2,2,2,1,,,1,,,,1.29,17,17,17,16
File,"ComparatorAbstractTestCase.java",1,1,1,1,8,0,5,2,,,,1,0,0,8,,8,8,7,8,,0,0,1,7,,138,19,73,39,28,46,,,,47,56,31,25,,,,,,1,1,1,1,,,0,,,,0.63,8,8,8,8
File,"CompositeFileComparator.java",2,2,2,1,16,0,10,6,,,,1,0,2,4,,4,4,1,4,,0,0,0,4,,122,7,57,21,28,64,,,,29,43,20,23,,,,,,3,3,3,3,,,2,,,,1.12,11,11,11,6
File,"CompositeFileComparatorTest.java",2,2,2,1,19,0,16,2,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,122,10,84,27,49,28,,,,43,56,23,33,,,,,,5,5,5,1,,,1,,,,0.33,8,8,8,4
File,"ConditionalFileFilter.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,65,7,8,7,0,50,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,6.25,0,0,0,0
File,"ConditionalFileFilterAbstractTestCase.java",1,1,1,1,18,1,16,1,,,,1,0,2,6,,16,16,4,16,,0,0,10,6,,183,31,130,65,83,22,,,,106,120,64,56,,,,,,3,3,3,1,,,1,,,,0.17,11,11,11,6
File,"CopyUtils.java",1,1,1,1,16,0,7,9,,,,1,12,1,13,,13,1,0,13,,0,0,0,13,,391,28,118,81,39,245,,,,48,64,42,22,,,,,,2,2,2,1,,,1,,,,2.08,15,15,15,13
File,"CopyUtilsTest.java",1,1,1,1,12,1,9,1,,,,1,0,1,11,,11,11,1,11,,0,0,0,11,,220,42,135,81,80,49,,,,92,104,65,39,,,,,,1,1,1,1,,,0,,,,0.36,11,11,11,11
File,"CountingInputStream.java",1,1,1,1,13,0,5,8,,,,1,0,0,7,,7,7,1,7,,0,0,1,6,,144,13,44,19,18,87,,,,20,31,17,14,,,,,,2,2,2,1,,,1,,,,1.98,10,10,10,7
File,"CountingInputStreamTest.java",1,1,1,1,15,2,12,0,,,,1,0,0,10,,10,10,0,10,,0,0,0,10,,219,40,148,68,96,32,,,,92,114,58,56,,,,,,3,3,3,1,,,1,,,,0.22,12,12,12,10
File,"CountingOutputStream.java",1,1,1,1,13,0,4,8,,,,1,0,0,6,,6,6,1,6,,0,0,1,5,,123,11,34,14,15,78,,,,15,24,13,11,,,,,,2,2,2,1,,,1,,,,2.29,8,8,8,6
File,"CountingOutputStreamTest.java",3,3,3,1,23,3,18,1,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,116,21,69,22,42,26,,,,51,63,25,38,,,,,,5,5,5,1,,,2,,,,0.38,10,10,10,3
File,"DefaultFileComparator.java",1,1,1,1,11,0,3,8,,,,1,0,3,1,,1,1,0,1,,0,0,0,1,,68,6,13,10,4,49,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,3.77,1,1,1,1
File,"DefaultFileComparatorTest.java",1,1,1,1,8,0,8,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,4,14,6,6,19,,,,9,11,5,6,,,,,,1,1,1,1,,,0,,,,1.36,1,1,1,1
File,"DeferredFileOutputStream.java",1,1,1,1,17,0,7,9,,,,1,0,0,12,,12,12,7,12,,0,1,2,9,,325,42,115,35,46,168,,,,48,71,29,42,,,,,,3,3,3,1,,,2,,,,1.46,21,21,21,12
File,"DeferredFileOutputStreamTest.java",2,2,2,1,24,2,17,4,,,,1,1,0,13,,13,12,3,13,,0,1,0,12,,398,51,265,88,162,83,,,,148,176,67,109,,,,,,4,4,4,1,,,2,,,,0.31,28,28,28,13
File,"DelegateFileFilter.java",2,2,2,1,11,0,6,5,,,,1,0,1,5,,5,5,2,5,,0,0,0,5,,107,9,43,18,17,55,,,,20,30,15,15,,,,,,2,2,2,1,,,1,,,,1.28,10,10,10,5
File,"DemuxInputStream.java",1,1,1,1,11,0,6,5,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,70,6,27,14,11,37,,,,13,19,12,7,,,,,,2,2,2,1,,,1,,,,1.37,5,5,5,3
File,"DemuxOutputStream.java",1,1,1,1,13,0,6,6,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,87,6,34,18,13,47,,,,13,21,13,8,,,,,,2,2,2,1,,,1,,,,1.38,7,7,7,4
File,"DemuxTestCase.java",1,1,1,1,9,0,8,0,,,,3,0,9,13,,13,13,8,13,,2,6,0,5,,210,30,159,83,79,21,,,,90,115,63,52,,,,,,3,3,3,1,,,2,,,,0.13,19,19,19,13
File,"DirectoryFileComparator.java",1,1,1,1,10,0,3,7,,,,1,0,5,2,,2,2,0,2,,0,1,0,1,,81,9,18,13,7,54,,,,11,14,12,2,,,,,,2,2,2,1,,,0,,,,3.00,3,3,3,2
File,"DirectoryFileComparatorTest.java",1,1,1,1,7,0,4,2,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,57,7,23,13,7,27,,,,11,15,9,6,,,,,,1,1,1,1,,,0,,,,1.17,3,3,3,3
File,"DirectoryFileFilter.java",1,1,1,1,7,0,2,4,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,74,6,14,10,4,54,,,,7,10,9,1,,,,,,1,1,1,1,,,0,,,,3.86,2,2,2,2
File,"DirectoryWalker.java",1,1,1,1,18,0,5,12,,,,2,0,1,20,,20,20,4,20,,0,1,15,4,,676,27,126,45,53,525,,,,52,84,38,46,,,,,,7,7,8,1,,,5,,,,4.17,32,32,34,20
