Kind,Name,AvgLineCode,Cyclomatic,PercentLackOfCohesionModified,PercentLackOfCohesion,SumCyclomatic,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,EvictionTimer.java,8,,,,10,1,1,1,1,12,0,4,,,,3,2,1,6,,6,4,0,6,,2,1,0,3,,135,12,59,24,26,66,,,,27,39,20,19,,,,,4,4,5,1,,,2,,1.12,10,11,6
File,GenericKeyedObjectPool.java,16,,,,162,3,3,3,1,28,1,10,,,,2,0,1,48,,48,48,17,48,,1,11,1,35,,1604,156,851,235,555,604,,,,404,589,202,387,,,,,19,19,22,10,,,6,,0.71,162,178,68
File,GenericKeyedObjectPoolConfig.java,4,,,,12,1,1,1,1,10,0,6,,,,1,0,4,11,,11,11,4,11,,0,0,1,10,,198,21,58,24,29,120,,,,28,41,21,20,,,,,2,2,2,1,,,1,,2.07,12,12,11
File,GenericKeyedObjectPoolMXBean.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,33,33,0,33,,33,0,0,0,,240,37,38,37,0,165,,,,36,37,37,0,,,,,0,0,0,0,,,0,,4.34,0,0,0
File,GenericObjectPool.java,14,,,,125,3,3,3,1,27,1,11,,,,1,0,1,38,,38,38,10,38,,1,6,1,30,,1214,99,619,150,395,498,,,,279,412,119,293,,,,,20,20,26,6,,,7,,0.8,125,148,53
File,GenericObjectPoolConfig.java,4,,,,9,1,1,1,1,11,0,6,,,,1,0,3,8,,8,8,3,8,,0,0,1,7,,158,18,46,19,23,95,,,,22,32,16,16,,,,,2,2,2,1,,,1,,2.07,9,9,8
File,GenericObjectPoolMXBean.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,36,36,0,36,,36,0,0,0,,257,41,40,39,0,176,,,,38,39,39,0,,,,,0,0,0,0,,,0,,4.4,0,0,0
File,InterruptibleReentrantLock.java,4,,,,3,1,1,1,1,10,0,5,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,57,5,16,9,5,36,,,,8,13,10,3,,,,,2,2,2,1,,,1,,2.25,3,3,2
File,JdkProxyHandler.java,3,,,,2,1,1,1,1,7,0,4,,,,1,0,0,2,,2,2,0,2,,1,0,0,1,,53,7,15,10,2,31,,,,6,9,7,2,,,,,1,1,1,1,,,0,,2.07,2,2,2
File,JdkProxySource.java,7,,,,4,1,1,1,1,9,0,2,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,85,12,40,24,16,33,,,,21,26,15,11,,,,,1,1,1,1,,,0,,0.82,4,4,4
File,KeyedObjectPool.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,241,12,18,17,0,211,,,,14,15,15,0,,,,,0,0,0,0,,,0,,11.72,0,0,0
File,KeyedPooledObjectFactory.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,153,7,8,7,0,138,,,,6,7,7,0,,,,,0,0,0,0,,,0,,17.25,0,0,0
File,LinkedBlockingDeque.java,8,,,,141,1,1,1,1,14,0,5,,,,5,0,1,72,,74,74,13,74,,9,8,0,57,,1423,99,721,184,404,610,,,,316,486,144,342,,,,,5,5,5,5,,,3,,0.85,141,141,95
File,MethodCall.java,6,,,,27,2,2,2,1,6,0,0,,,,1,0,0,12,,12,12,3,12,,0,0,0,12,,124,18,87,26,41,19,,,,39,61,23,38,,,,,9,9,10,6,,,1,,0.22,27,28,17
File,MethodCallPoolableObjectFactory.java,4,,,,26,1,1,1,1,4,0,0,,,,1,0,0,21,,21,21,8,21,,0,0,0,21,,161,25,114,45,50,22,,,,55,82,40,42,,,,,2,2,2,1,,,1,,0.19,26,26,21
File,NoOpCallStack.java,2,,,,4,1,1,1,1,2,0,0,,,,1,0,1,4,,4,4,0,4,,0,1,0,3,,51,7,17,11,2,27,,,,4,9,8,1,,,,,1,1,1,1,,,0,,1.59,4,4,4
File,NoOpCallStackTest.java,7,,,,1,1,1,1,1,7,0,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,3,15,10,5,16,,,,10,12,9,3,,,,,1,1,1,1,,,0,,1.07,1,1,1
File,ObjectPool.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,188,10,16,15,0,162,,,,11,12,12,0,,,,,0,0,0,0,,,0,,10.12,0,0,0
File,ObjectPoolIssue326.java,10,,,,15,1,1,1,1,12,0,1,,,,4,1,0,8,,8,7,2,8,,1,3,0,4,,184,15,111,41,59,58,,,,67,88,40,48,,,,,4,4,4,1,,,3,,0.52,15,15,8
